Keyword,Data Type,Description,Default,Example
bar_align,str,If ‘center’ aligns center of bar to x-axis value; if ‘edge’ aligns the left edge of the bar to the x-axis value,‘center’ ,None
bar_color_by_bar|color_by_bar,bool,Color each bar differently,False,`color by bar <barplot.html#Color-by-bar>`_
bar_edge_color,str,Hex color string for the edge of the bar,fcp.DEFAULT_COLORS,None
bar_edge_width,float,Width of the edge of the bar in pixels,0,None
bar_error_bars|error_bars,bool,Display error bars on each bar,False,`error bars <barplot.html#Error-bars>`_
bar_error_color|error_color,str,Hex color string of the error bar lines,#555555,None
bar_fill_alpha,float,Transparency value for the bars between 0-1,0.75,None
bar_fill_color,str,Hex color string of the bar fill ,fcp.DEFAULT_COLORS,None
bar_horizontal|horizontal,bool,Display bars horizontally,False,`horizontal box plot <barplot.html#Horizontal-bars>`_
bar_rolling|bar_rolling_mean|rolling|rolling_mean,int,Rolling mean window size [enables this curve],No default,`rolling mean <barplot.html#Rolling-mean>`_
bar_stacked|stacked,bool,Stack bars of a given group ,False,`stacked box plot <barplot.html#Stacked>`_
bar_width,float,Set the fractional width of the bars between 0-1,0.8,None
rolling_mean_line_color,str,Hex color string for the rolling mean line,fcp.DEFAULT_COLORS,`rolling mean line color <barplot.html#Custom-line-style>`_
rolling_mean_line_width,int,Width for the rolling mean line in pixels,2,`rolling mean line color <barplot.html#Custom-line-style>`_
