Keyword,Data Type,Description,Default,Example
pie_colors|colors,str|list,Wedge fill colors,fcp.DEFAULT_COLORS,pie.html#colors
pie_counter_clock|counter_clock,bool,Places wedges in a counter-clockwise fashion,False,pie.html#counter-clockwise
pie_edge_color|edge_color,str,Hex color string for the edge of the pie wedges,#ffffff,pie.html#colors
pie_edge_style|edge_style,str,"Line style for the wedge edge lines {‘-’, ‘--’, ‘-.’, ‘:’}",'-’,pie.html#colors
pie_edge_width|edge_width,float,Width of the wedge edge lines in pixels,1,pie.html#colors
pie_explode|explode,list of float,Emphasize one or more wedges by offsetting it from the center of the pie by some amount,None,pie.html#explode
pie_font_color|font_color,str,Font color for the wedge labels,#444444,pie.html#wedge-labels
pie_font_size|font_size,float,Font size for the wedge labels,11,pie.html#wedge-labels
pie_font_weight|font_weight,str,"Font weight for the wedge labels {'light', 'normal', 'medium', 'semibold', 'bold', 'heavy', 'black'}",'normal',pie.html#wedge-labels
pie_fill_alpha|fill_alpha,float,Transparency value for the bars between 0-1,0.85,None
pie_inner_radius|inner_radius,float,Distance from the center of the pie to the inner edge; used to make donut plots,pie.html#donut
pie_label_distance|label_distance,float,Distance from the center of the pie to the category labels,1.1,pie.html#wedge-labels
pie_percents|percents,bool,Label each pie wedge with the percentage for that category,False,pie.html#labeled-percents
pie_percents_distance|percents_distance,float,Distance from center [0] to edge [pie_radius] at which percentage labels are placed,0.6,pie.html#labeled-percents
pie_percents_font_color|percents_font_color,str,Font color for the percentage labels,#444444,pie.html#labeled-percents
pie_percents_font_size|percents_font_size,float,Font size for the percentage labels,11,pie.html#labeled-percents
pie_percents_font_weight|percents_font_weight,str,"Font weight for the percentage labels {'light', 'normal', 'medium', 'semibold', 'bold', 'heavy', 'black'}",'normal',pie.html#labeled-percents
pie_radius|radius,float,Sets the radius of the pie chart,1,pie.html#basic-plot
pie_rotate_labels|rotate_labels,bool,Rotate the pie labels to align with the bisection line from center of the pie through the wedge,False,pie.html#wedge-labels
pie_shadow|shadow,bool,Add a shadow to give a 3D appearance to the pie chart,False,pie.html#shadow
pie_start_angle|start_angle,float,The angle at which the first wedge starts with [3 o'clock = 0; 12 o'clock =90; etc],90,pie.html#start-angle
