Keyword,Data Type,Description,Default,Example
ax_size,list of int | str,"Axes size [width, height]; note this is not the size of the entire figure but just the axes area; for boxplots can enter 'auto' to auto-scale the width","[400, 400]",plot.html#Time-series
ax_edge_alpha,str,Transparency value for axes edge between 0-1,1,None
ax_edge_color,str,Hex color string for the border edge of the axes region,#aaaaaa,styles.html#Typical-elements
ax_edge_bottom,boolean,Enable/disable the bottom axes edge (or spine),True,styles.html#Axes-edges
ax_edge_left,boolean,Enable/disable the left axes edge (or spine),True,styles.html#Axes-edges
ax_edge_right,boolean,Enable/disable the right axes edge (or spine),True,styles.html#Axes-edges
ax_edge_top,boolean,Enable/disable the top axes edge (or spine),True,styles.html#Axes-edges
ax_edge_width,float,Width of the axes border in pixels,1,None
ax_fill_alpha,str,Transparency value for axes fill between 0-1,1,styles.html#Alpha
ax_fill_color,str,Hex color string for the fill color of the axes region,#eaeaea,styles.html#Alpha
ax_scale|ax2_scale,str,Set the scale type of the axes {'linear'; 'logx'; 'semilogx'; 'logy'; 'semilogy'; 'loglog'; 'log'; 'symlog'; 'logit'},'linear',plot.html#Log-scale
share_x,boolean,Share the x-axis range across grouped plots with multiple axes,True,ranges.html#Axes-sharing
share_x2,boolean,Share the secondary x-axis range across grouped plots with multiple axes,True,ranges.html#Axes-sharing
share_y,boolean,Share the y-axis range across grouped plots with multiple axes,True,ranges.html#Axes-sharing
share_y2,boolean,Share the secondary y-axis range across grouped plots with multiple axes,True,ranges.html#Axes-sharing
share_col,boolean,Share the x and y axis ranges of subplots in the same column when grouping,True,ranges.html#Share-columns
share_row,boolean,Share the x and y axis ranges of subplots in the same row when grouping,True,ranges.html#Share-row
twin_x,boolean,Add a secondary y-axis by "twinning" the x-axis,False,plot.html#Shared-x-axis-(twin_x)
twin_y,boolean,Add a secondary x-axis by "twinning" the y-axis,False,plot.html#Shared-y-axis-(twin_y)
