Keyword,Data Type,Description,Default,Example
gantt_color_by|color_by,str|None,Color each bar differently based on a grouping criterion,'bar',gantt.html#Styling
gantt_height|height,float,Set the fractional height of the Gantt bars between 0-1,0.9,gantt.html#Styling
gantt_edge_color,str,Hex color string for the edge of the Gantt bars,fcp.DEFAULT_COLORS,gantt.html#Styling
gantt_edge_width,float,Width of the edge of the Gantt bars in pixels,0,gantt.html#Styling
gantt_order_by_legend|order by legend,bool,Order the y-axis values based on the sort order of the legend values [requires legend],False,gantt.html#Legends
gantt_fill_alpha,int,Transparency value for the Gantt bars between 0-1,0.75,gantt.html#Styling
gantt_fill_color,str,Hex color string of the Gantt bar fill ,fcp.DEFAULT_COLORS,None
gantt_label_x,str,"By default, x-axis labels are disabled for this plot type",'’,None
gantt_tick_labels_x_rotation|tick_labels_x_rotation,int,Gantt-specific version of the this kwarg to ensure rotations are not applied globably to all plots from a theme file,90,gantt.html#Legends
sort,str,"Sort order for the Gantt bars {‘ascending’, ‘descending’}",'descending’,gantt.html#Sorting
